Date2,Date,Open,High,Low,Close*,Adj Close**,Volume
2020-12-04,"Dec 04, 2020",122.60,122.86,121.52,122.25,122.25,78133200
2020-12-03,"Dec 03, 2020",123.52,123.78,122.21,122.94,122.94,78967600
2020-12-02,"Dec 02, 2020",122.02,123.37,120.89,123.08,123.08,89004200
2020-12-01,"Dec 01, 2020",121.01,123.47,120.01,122.72,122.72,128166800
2020-11-30,"Nov 30, 2020",116.97,120.97,116.81,119.05,119.05,169410200
2020-11-27,"Nov 27, 2020",116.57,117.49,116.22,116.59,116.59,46691300
2020-11-25,"Nov 25, 2020",115.55,116.75,115.17,116.03,116.03,76499200
2020-11-24,"Nov 24, 2020",113.91,115.85,112.59,115.17,115.17,113874200
2020-11-23,"Nov 23, 2020",117.18,117.62,113.75,113.85,113.85,127959300
2020-11-20,"Nov 20, 2020",118.64,118.77,117.29,117.34,117.34,73391400
2020-11-19,"Nov 19, 2020",117.59,119.06,116.81,118.64,118.64,74113000
2020-11-18,"Nov 18, 2020",118.61,119.82,118.00,118.03,118.03,76322100
2020-11-17,"Nov 17, 2020",119.55,120.67,118.96,119.39,119.39,74271000
2020-11-16,"Nov 16, 2020",118.92,120.99,118.15,120.30,120.3,91183000
2020-11-13,"Nov 13, 2020",119.44,119.67,117.87,119.26,119.26,81581900
2020-11-12,"Nov 12, 2020",119.62,120.53,118.57,119.21,119.21,103162300
2020-11-11,"Nov 11, 2020",117.19,119.63,116.44,119.49,119.49,112295000
2020-11-10,"Nov 10, 2020",115.55,117.59,114.13,115.97,115.97,138023400
2020-11-09,"Nov 09, 2020",120.50,121.99,116.05,116.32,116.32,154515300
2020-11-06,"Nov 06, 2020",118.32,119.20,116.13,118.69,118.69,114457900
2020-11-05,"Nov 05, 2020",117.95,119.62,116.87,119.03,118.82,126387100
2020-11-04,"Nov 04, 2020",114.14,115.59,112.35,114.95,114.75,138235500
2020-11-03,"Nov 03, 2020",109.66,111.49,108.73,110.44,110.25,107624400
2020-11-02,"Nov 02, 2020",109.11,110.68,107.32,108.77,108.58,122866900
2020-10-30,"Oct 30, 2020",111.06,111.99,107.72,108.86,108.67,190272600
2020-10-29,"Oct 29, 2020",112.37,116.93,112.20,115.32,115.12,146129200
2020-10-28,"Oct 28, 2020",115.05,115.43,111.10,111.20,111.01,143937800
2020-10-27,"Oct 27, 2020",115.49,117.28,114.54,116.60,116.4,92276800
2020-10-26,"Oct 26, 2020",114.01,116.55,112.88,115.05,114.85,111850700
2020-10-23,"Oct 23, 2020",116.39,116.55,114.28,115.04,114.84,82572600
2020-10-22,"Oct 22, 2020",117.45,118.04,114.59,115.75,115.55,101988000
2020-10-21,"Oct 21, 2020",116.67,118.71,116.45,116.87,116.67,89946000
2020-10-20,"Oct 20, 2020",116.20,118.98,115.63,117.51,117.31,124423700
2020-10-19,"Oct 19, 2020",119.96,120.42,115.66,115.98,115.78,120639300
2020-10-16,"Oct 16, 2020",121.28,121.55,118.81,119.02,118.82,115393800
2020-10-15,"Oct 15, 2020",118.72,121.20,118.15,120.71,120.5,112559200
2020-10-14,"Oct 14, 2020",121.00,123.03,119.62,121.19,120.98,151062300
2020-10-13,"Oct 13, 2020",125.27,125.39,119.65,121.10,120.89,262330500
2020-10-12,"Oct 12, 2020",120.06,125.18,119.28,124.40,124.19,240226800
2020-10-09,"Oct 09, 2020",115.28,117.00,114.92,116.97,116.77,100506900
2020-10-08,"Oct 08, 2020",116.25,116.40,114.59,114.97,114.77,83477200
2020-10-07,"Oct 07, 2020",114.62,115.55,114.13,115.08,114.88,96849000
2020-10-06,"Oct 06, 2020",115.70,116.12,112.25,113.16,112.97,161498200
2020-10-05,"Oct 05, 2020",113.91,116.65,113.55,116.50,116.3,106243800
2020-10-02,"Oct 02, 2020",112.89,115.37,112.22,113.02,112.83,144712000
2020-10-01,"Oct 01, 2020",117.64,117.72,115.83,116.79,116.59,116120400
2020-09-30,"Sep 30, 2020",113.79,117.26,113.62,115.81,115.61,142675200
2020-09-29,"Sep 29, 2020",114.55,115.31,113.57,114.09,113.89,99382200
2020-09-28,"Sep 28, 2020",115.01,115.32,112.78,114.96,114.76,137672400
2020-09-25,"Sep 25, 2020",108.43,112.44,107.67,112.28,112.09,149981400
2020-09-24,"Sep 24, 2020",105.17,110.25,105.00,108.22,108.03,167743300
2020-09-23,"Sep 23, 2020",111.62,112.11,106.77,107.12,106.94,150718700
2020-09-22,"Sep 22, 2020",112.68,112.86,109.16,111.81,111.62,183055400
2020-09-21,"Sep 21, 2020",104.54,110.19,103.10,110.08,109.89,195713800
2020-09-18,"Sep 18, 2020",110.40,110.88,106.09,106.84,106.66,287104900
2020-09-17,"Sep 17, 2020",109.72,112.20,108.71,110.34,110.15,178011000
